imageX,imageY,pixel RGB,Increasing Interval M,Smallest Grade M
0,0,"(0,179,229)","Cyan (Process) (0,183,235)","Cyan (Process) (0,183,235)"
0,1,"(183,84,255)","Lavender Indigo (148,87,235)","Medium Orchid (186,85,211)"
0,2,"(255,12,38)","Ruddy (255,0,40)","Ruddy (255,0,40)"
0,3,"(0,127,255)","Azure (0,127,255)","Azure (0,127,255)"
0,4,"(0,162,232)","Cyan (Process) (0,183,235)","Cyan (Process) (0,183,235)"
0,5,"(0,162,232)","Cyan (Process) (0,183,235)","Cyan (Process) (0,183,235)"
0,6,"(0,162,232)","Cyan (Process) (0,183,235)","Cyan (Process) (0,183,235)"
0,7,"(63,72,204)","Cerulean Blue (42,82,190)","Iris (90,79,207)"
0,8,"(63,72,204)","Cerulean Blue (42,82,190)","Iris (90,79,207)"
0,9,"(127,127,127)","Gray (128,128,128)","Gray (128,128,128)"
1,0,"(172,101,223)","Rich Lilac (182,102,210)","Rich Lilac (182,102,210)"
1,1,"(211,51,0)","Sinopia (203,65,11)","Mahogany (192,64,0)"
1,2,"(255,201,14)","Mikado Yellow (255,196,12)","Mikado Yellow (255,196,12)"
1,3,"(153,97,255)","Lavender Indigo (148,87,235)","Lavender Indigo (148,87,235)"
1,4,"(175,33,0)","Rufous (168,28,7)","Rufous (168,28,7)"
1,5,"(127,127,127)","Gray (128,128,128)","Gray (128,128,128)"
1,6,"(127,127,127)","Gray (128,128,128)","Gray (128,128,128)"
1,7,"(237,28,36)","Red (Pigment) (237,28,36)","Red (Pigment) (237,28,36)"
1,8,"(63,72,204)","Cerulean Blue (42,82,190)","Iris (90,79,207)"
1,9,"(63,72,204)","Cerulean Blue (42,82,190)","Iris (90,79,207)"
2,0,"(208,82,55)","Dark Coral (205,91,69)","Dark Coral (205,91,69)"
2,1,"(63,72,204)","Cerulean Blue (42,82,190)","Iris (90,79,207)"
2,2,"(63,72,204)","Cerulean Blue (42,82,190)","Iris (90,79,207)"
