,age,gender,XAI
0,24,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 25 years)
1,27,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 25 years)
2,59,Man,Person is Middle Aged Adult because its facial features most dominant age class is Middle Aged Adult (~ 58 years)
3,41,Woman,Person is Middle Aged Adult because its facial features most dominant age class is Middle Aged Adult (~ 44 years)
4,31,Man,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 31 years)
5,31,Man,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 31 years)
6,28,Man,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 29 years)
7,48,Man,Person is Middle Aged Adult because its facial features most dominant age class is Middle Aged Adult (~ 48 years)
8,30,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 29 years)
9,33,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 34 years)
10,27,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 25 years)
11,30,Man,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 31 years)
12,36,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 36 years)
13,72,Man,Person is Old Adult because its facial features most dominant age class is Old Adult (~ 68 years)
14,56,Man,Person is Middle Aged Adult because its facial features most dominant age class is Middle Aged Adult (~ 52 years)
15,71,Woman,Person is Old Adult because its facial features most dominant age class is Old Adult (~ 68 years)
16,64,Man,Person is Old Adult because its facial features most dominant age class is Old Adult (~ 63 years)
17,19,Woman,Person is Adolescent because its facial features most dominant age class is Adolescent (~ 19 years)
18,21,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 20 years)
19,39,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 36 years)
20,37,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 38 years)
21,27,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 25 years)
22,28,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 25 years)
23,50,Woman,Person is Middle Aged Adult because its facial features most dominant age class is Middle Aged Adult (~ 52 years)
24,63,Woman,Person is Old Adult because its facial features most dominant age class is Old Adult (~ 63 years)
25,41,Woman,Person is Middle Aged Adult because its facial features most dominant age class is Middle Aged Adult (~ 44 years)
26,42,Woman,Person is Middle Aged Adult because its facial features most dominant age class is Middle Aged Adult (~ 44 years)
27,49,Woman,Person is Middle Aged Adult because its facial features most dominant age class is Middle Aged Adult (~ 57 years)
28,46,Woman,Person is Middle Aged Adult because its facial features most dominant age class is Middle Aged Adult (~ 46 years)
29,28,Man,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 25 years)
30,29,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 25 years)
31,44,Woman,Person is Middle Aged Adult because its facial features most dominant age class is Middle Aged Adult (~ 44 years)
32,33,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 29 years)
33,27,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 25 years)
34,27,Man,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 25 years)
35,30,Man,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 29 years)
36,31,Man,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 31 years)
37,49,Woman,Person is Middle Aged Adult because its facial features most dominant age class is Middle Aged Adult (~ 50 years)
38,54,Woman,Person is Middle Aged Adult because its facial features most dominant age class is Middle Aged Adult (~ 52 years)
39,26,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 25 years)
40,40,Woman,Person is Middle Aged Adult because its facial features most dominant age class is Young Adult (~ 29 years)
41,38,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 36 years)
42,44,Woman,Person is Middle Aged Adult because its facial features most dominant age class is Middle Aged Adult (~ 46 years)
43,28,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 25 years)
44,32,Man,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 31 years)
45,31,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 31 years)
46,35,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 31 years)
47,20,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 20 years)
48,34,Man,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 31 years)
49,42,Woman,Person is Middle Aged Adult because its facial features most dominant age class is Middle Aged Adult (~ 44 years)
50,35,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 34 years)
51,35,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 31 years)
52,36,Man,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 36 years)
53,49,Woman,Person is Middle Aged Adult because its facial features most dominant age class is Middle Aged Adult (~ 49 years)
54,27,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 25 years)
55,23,Man,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 25 years)
56,35,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 36 years)
57,33,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 36 years)
58,40,Man,Person is Middle Aged Adult because its facial features most dominant age class is Middle Aged Adult (~ 44 years)
59,27,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 25 years)
60,44,Woman,Person is Middle Aged Adult because its facial features most dominant age class is Middle Aged Adult (~ 46 years)
61,51,Man,Person is Middle Aged Adult because its facial features most dominant age class is Middle Aged Adult (~ 52 years)
62,33,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 31 years)
63,31,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 31 years)
64,32,Man,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 31 years)
65,35,Man,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 29 years)
66,32,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 31 years)
67,37,Woman,Person is Young Adult because its facial features most dominant age class is Young Adult (~ 31 years)
